restName,menu_name,score
Parkway Cafe,sweet and spicy meatball sub,1.25
Parkway Cafe,veggie with mushroom sub,1.25
Parkway Cafe,smoked turkey breast sub,1.25
Parkway Cafe,firehouse pepperoni meatball sub,1.25
Parkway Cafe,italian sub,1.25
Parkway Cafe,grilled chicken breast sub,1.25
Parkway Cafe,tuna salad sub,1.25
Parkway Cafe,hook and ladder sub,1.25
Parkway Cafe,firehouse steak and cheese sub,1.25
Parkway Cafe,honey ham sub,1.25
Parkway Cafe,firehouse meatball sub,1.25
Parkway Cafe,new york steamer sub,1.25
Parkway Cafe,engineer sub,1.25
Parkway Cafe,pastrami sub,1.25
Parkway Cafe,club on a sub,1.25
Parkway Cafe,smokehouse beef and cheddar brisket sub,1.25
Parkway Cafe,turkey bacon ranch sub,1.25
Parkway Cafe,premium roast beef sub,1.25
Parkway Cafe,corned beef brisket sub,1.25
Parkway Cafe,firehouse hero sub,1.25
Parkway Cafe,veggie sub,1.25
Firehouse Subs,firehouse meatball sub,2.1787878787878787
Firehouse Subs,firehouse pepperoni meatball sub,2.1787878787878787
Firehouse Subs,corned beef brisket sub,3.6500000000000004
Firehouse Subs,smokehouse beef and cheddar brisket sub,3.6500000000000004
US Fried Chicken,chicken gyro with french fries and soda,4.829166666666667
US Fried Chicken,spicy chicken sandwich with french fries and soda,4.829166666666667
US Fried Chicken,chicken nuggets with french fries,4.829166666666667
Smoothie King,greek yogurt pineapple mango smoothie,2.8482142857142856
Smoothie King,peach slice plus smoothie,2.8482142857142856
Smoothie King,blueberry heaven smoothie,2.8482142857142856
Smoothie King,veggie blends apple kiwi kale smoothie,2.8482142857142856
Smoothie King,angel food smoothie,2.8482142857142856
Smoothie King,the activator smoothie,2.8482142857142856
Smoothie King,lean1 strawberry smoothie,2.8482142857142856
Smoothie King,power punch plus smoothie,2.8482142857142856
Smoothie King,lean1 chocolate smoothie,2.8482142857142856
Smoothie King,the shredder smoothie,2.8482142857142856
Smoothie King,acai adventure smoothie,2.8482142857142856
Smoothie King,lean1 tropical smoothie,2.8482142857142856
Smoothie King,greek yogurt strawberry blueberry smoothie,2.8482142857142856
Smoothie King,immune builder orange smoothie,2.8482142857142856
Smoothie King,pineapple surf smoothie,2.8482142857142856
Smoothie King,slim-n-trim chocolate smoothie,2.8482142857142856
Smoothie King,berry punch smoothie,2.8482142857142856
Smoothie King,peanut power plus chocolate smoothie,2.8482142857142856
Smoothie King,almond mocha high protein smoothie,2.8482142857142856
Smoothie King,lean1 vanilla smoothie,2.8482142857142856
Smoothie King,immune builder mixed berry smoothie,2.8482142857142856
Smoothie King,raspberry collider smoothie,2.8482142857142856
Smoothie King,strawberry-kiwi breeze smoothie,2.8482142857142856
Smoothie King,gladiator smoothie,3.1815476190476186
Smoothie King,mangofest smoothie,2.8482142857142856
Smoothie King,greek yogurt peach papaya smoothie,2.8482142857142856
Smoothie King,pure recharge strawberry smoothie,2.8482142857142856
Smoothie King,slim-n-trim strawberry smoothie,2.8482142857142856
Smoothie King,caribbean way smoothie,2.8482142857142856
Smoothie King,lemon twist strawberry smoothie,2.8482142857142856
Smoothie King,peanut power plus strawberry smoothie,2.8482142857142856
Smoothie King,muscle punch smoothie,2.8482142857142856
Smoothie King,the hulk smoothie,2.8482142857142856
Smoothie King,green tea tango smoothie,2.8482142857142856
Smoothie King,vegan mango kale smoothie,2.8482142857142856
Smoothie King,island impact smoothie,2.8482142857142856
Smoothie King,yogurt d-lite smoothie,2.8482142857142856
Smoothie King,banana boat smoothie,2.8482142857142856
Smoothie King,veggie blends berry carrot dream smoothie,2.8482142857142856
Smoothie King,banana berry treat smoothie,2.8482142857142856
Smoothie King,vegan nutty super grain smoothie,2.8482142857142856
Smoothie King,slim-n-trim vanilla smoothie,2.8482142857142856
Smoothie King,slim-n-trim orange vanilla smoothie,2.8482142857142856
Smoothie King,vegan dark chocolate banana smoothie,2.8482142857142856
Smoothie King,veggie blends carrot kale dream smoothie,2.8482142857142856
Smoothie King,strawberry x-treme smoothie,2.8482142857142856
Smoothie King,original high protein smoothie,2.8482142857142856
Smoothie King,pue recharge mango strawberry smoothie,2.8482142857142856
Smoothie King,mangosteen madness smoothie,2.8482142857142856
Smoothie King,passion passport smoothie,2.8482142857142856
Queen City Q,abita root beer,26.108620034935825
Queen City Q,st. louis style pork ribs,27.821600866453807
Queen City Q,eastern nc bbq slaw,50.23854940389572
Solstice Tavern,solstice wrap,5.138528138528138
Solstice Tavern,solstice sticks,4.930194805194805
Solstice Tavern,solstice house salad,4.805194805194805
Kid Cashew,lunch cilantro chicken salad,13.196100141688376
Kid Cashew,dinner cilantro chicken salad,13.845367540955772
Kid Cashew,dinner all natural wood-fired chicken avocado sandwich,13.012827858416093
Hooters,hooters smoked wings,6.917532467532467
Hooters,hooters bacon wrapped wings,6.917532467532467
Hooters,hooters daytona beach style wings,6.974675324675325
Hooters,hooters style original wings,6.974675324675325
Aix en Provence,steak frites lunch,1.2916666666666667
Aix en Provence,octopus a la plancha,0.5196687370600414
Aix en Provence,chocolate cake,0.5
Aix en Provence,charcuterie,0.5
Charlotte Cafe,kid's breakfast ham and cheese panini,0.9999999999999999
Charlotte Cafe,kid's breakfast scrambled eggs and cheese panini,0.9999999999999999
Charlotte Cafe,kid's breakfast turkey and cheese panini,0.9999999999999999
Charlotte Cafe,kid's breakfast grilled cheese panini,0.9999999999999999
Charlotte Cafe,breakfast special,0.9999999999999999
Fidelli Kitchen,chicken pesto panini,2.2803030303030303
Fidelli Kitchen,meatball panini,2.166666666666667
Fidelli Kitchen,meatball cone,2.0
China Cafe,shrimp with mixed vegetables,2.2222222222222223
China Cafe,shrimp with mixed vegetables combo,2.2222222222222223
China Cafe,steamed vegetables with chicken,2.561111111111111
China Cafe,steamed vegetables,2.888888888888889
Dolce Ristorante,gnocchi (only on tuesday),20.110967635735435
Dolce Ristorante,italian cheese cake,4.448359870263896
Dolce Ristorante,bolognese,2.419079939668175
Bread and  Kabob,large french fries,3.702020202020202
Bread and  Kabob,small french fries,3.702020202020202
Bread and  Kabob,french fries,3.702020202020202
Wild Wing Cafe,party 60 chicken wings,5.3654761904761905
Wild Wing Cafe,sampler 30 chicken wings,5.3654761904761905
Wild Wing Cafe,mini 6 chicken wings,5.3654761904761905
Wild Wing Cafe,12 single chicken wings,5.3654761904761905
Wild Wing Cafe,full 18 chicken wings,5.3654761904761905
The Wok,chinese eggplant in garlic sauce,2.767857142857143
The Wok,shrimp with chinese eggplant,2.267857142857143
The Wok,beef with chinese eggplant,2.267857142857143
Dilworth Neighborhood Grille,sweet potato fries,7.273412698412699
Dilworth Neighborhood Grille,seasoned french fries,6.773412698412698
Dilworth Neighborhood Grille,beer cheese pretzel dip,10.520238095238096
Charlotte Cafe,kid's breakfast ham and cheese panini,1.5
Charlotte Cafe,kid's breakfast turkey and cheese panini,1.7
Charlotte Cafe,breakfast special,1.5
Charlotte Cafe,kid's breakfast grilled cheese panini,1.5
Zanzibar Cafe,cassava leaf,0.6666666666666666
Zanzibar Cafe,fried cassava,0.6666666666666666
Zanzibar Cafe,liver stew,0.6666666666666666
The Southern Gourmet,ultimate southern cheese burger,1.6444444444444444
The Southern Gourmet,buffalo chicken grilled cheese sandwich,1.575
The Southern Gourmet,homemade chicken salad du jour sandwich,1.875
China Fun,90. mixed chinese vegetable,1.25
China Fun,l22. general tso's chicken lunch special,0.5
China Fun,c14. general tso's chicken combination plate,0.5
